585:7,scr_text_slash_scr_text_gml_9628_0
585:7,scr_noface_slash_scr_noface_gml_1_0
585:11,scr_text_slash_scr_text_gml_9641_0
585:11,scr_text_slash_scr_text_gml_9642_0_b
585:11,scr_text_slash_scr_text_gml_9643_0
585:11,scr_text_slash_scr_text_gml_9644_0
585:11,scr_text_slash_scr_text_gml_9645_0
585:11,scr_text_slash_scr_text_gml_9646_0
585:11,scr_text_slash_scr_text_gml_9647_0
585:11,scr_text_slash_scr_text_gml_9648_0
585:11,scr_text_slash_scr_text_gml_9649_0
585:38,scr_noface_slash_scr_noface_gml_1_0
585:41,scr_text_slash_scr_text_gml_9653_0
585:41,scr_text_slash_scr_text_gml_9654_0_b
585:41,scr_text_slash_scr_text_gml_9655_0
585:47,scr_noface_slash_scr_noface_gml_1_0
586:0,obj_npc_facing_slash_Other_10_gml_537_0
586:0,obj_npc_facing_slash_Other_10_gml_538_0
586:0,scr_susface_slash_scr_susface_gml_1_0
586:0,obj_npc_facing_slash_Other_10_gml_540_0
586:7,obj_readable_room1_slash_Other_10_gml_1258_0
586:7,obj_readable_room1_slash_Other_10_gml_1259_0
586:7,obj_readable_room1_slash_Other_10_gml_1263_0
586:7,obj_readable_room1_slash_Other_10_gml_1264_0
586:7,obj_readable_room1_slash_Other_10_gml_2491_0
586:13,obj_npc_facing_slash_Other_10_gml_544_0
586:13,scr_susface_slash_scr_susface_gml_1_0
586:13,obj_npc_facing_slash_Other_10_gml_546_0
586:13,obj_npc_facing_slash_Other_10_gml_548_0
586:21,scr_susface_slash_scr_susface_gml_1_0
586:27,scr_susface_slash_scr_susface_gml_1_0
586:27,scr_susface_slash_scr_susface_gml_1_0
586:27,scr_susface_slash_scr_susface_gml_1_0
586:33,obj_readable_room1_slash_Other_10_gml_1268_0
586:38,obj_readable_room1_slash_Other_10_gml_1563_0
586:38,scr_text_slash_scr_text_gml_9768_0_b
586:38,scr_text_slash_scr_text_gml_9769_0
586:38,scr_text_slash_scr_text_gml_9773_0
586:42,scr_text_slash_scr_text_gml_9781_0
586:42,scr_text_slash_scr_text_gml_9782_0
586:42,scr_text_slash_scr_text_gml_9783_0
586:55,scr_text_slash_scr_text_gml_4095_0
586:55,scr_text_slash_scr_text_gml_4096_0
586:55,scr_text_slash_scr_text_gml_4097_0
586:55,scr_text_slash_scr_text_gml_4098_0
586:55,scr_text_slash_scr_text_gml_4099_0
586:55,scr_text_slash_scr_text_gml_4100_0
586:55,scr_text_slash_scr_text_gml_4101_0
586:55,scr_text_slash_scr_text_gml_4102_0
586:55,scr_text_slash_scr_text_gml_9726_0
586:55,scr_text_slash_scr_text_gml_9727_0
586:55,scr_text_slash_scr_text_gml_9731_0_b
586:55,scr_text_slash_scr_text_gml_9734_0
586:55,scr_text_slash_scr_text_gml_9735_0
587:4,obj_town_north_slash_Step_0_gml_40_0
587:4,obj_town_north_slash_Step_0_gml_41_0
587:4,obj_town_north_slash_Step_0_gml_43_0
587:4,obj_town_north_slash_Step_0_gml_44_0
587:4,obj_town_north_slash_Step_0_gml_46_0
587:4,obj_town_north_slash_Step_0_gml_48_0
587:4,obj_town_north_slash_Step_0_gml_69_0
587:4,obj_town_north_slash_Step_0_gml_71_0
587:4,obj_town_north_slash_Step_0_gml_73_0
587:4,obj_town_north_slash_Step_0_gml_75_0
587:4,obj_town_north_slash_Step_0_gml_77_0
587:4,obj_town_north_slash_Step_0_gml_79_0
587:4,obj_town_north_slash_Step_0_gml_81_0
587:4,obj_town_north_slash_Step_0_gml_82_0
587:4,obj_town_north_slash_Step_0_gml_84_0
587:4,scr_susface_slash_scr_susface_gml_1_0
587:4,scr_noface_slash_scr_noface_gml_1_0
587:4,scr_susface_slash_scr_susface_gml_1_0
587:21,scr_susface_slash_scr_susface_gml_1_0
587:21,scr_noface_slash_scr_noface_gml_1_0
587:21,scr_susface_slash_scr_susface_gml_1_0
587:21,scr_noface_slash_scr_noface_gml_1_0
587:21,scr_susface_slash_scr_susface_gml_1_0
587:21,scr_noface_slash_scr_noface_gml_1_0
587:21,scr_susface_slash_scr_susface_gml_1_0
587:53,obj_readable_room1_slash_Other_10_gml_2568_0
587:53,obj_readable_room1_slash_Other_10_gml_2569_0
587:53,obj_readable_room1_slash_Other_10_gml_2570_0
588:6,obj_npc_sign_slash_Other_10_gml_10_0
588:6,obj_npc_sign_slash_Other_10_gml_46_0
588:8,obj_npc_room_slash_Other_10_gml_1107_0
588:8,obj_npc_room_slash_Other_10_gml_1108_0_b
588:16,obj_npc_room_slash_Other_10_gml_1112_0_b
588:22,obj_npc_sign_slash_Other_10_gml_32_0
588:22,obj_npc_sign_slash_Other_10_gml_33_0
588:22,obj_npc_sign_slash_Other_10_gml_51_0
588:22,obj_npc_sign_slash_Other_10_gml_58_0
588:22,obj_npc_sign_slash_Other_10_gml_59_0
588:31,obj_npc_sign_slash_Other_10_gml_137_0_b
588:31,obj_npc_sign_slash_Other_10_gml_138_0
588:36,obj_npc_sign_slash_Other_10_gml_142_0
589:8,obj_readable_room1_slash_Other_10_gml_1539_0
589:8,obj_readable_room1_slash_Other_10_gml_1540_0
589:8,obj_readable_room1_slash_Other_10_gml_1541_0
589:8,obj_readable_room1_slash_Other_10_gml_2471_0_b
589:8,obj_readable_room1_slash_Other_10_gml_2472_0
589:28,obj_npc_room_slash_Other_10_gml_32_0
589:28,obj_npc_room_slash_Other_10_gml_73_0
589:28,scr_text_slash_scr_text_gml_9871_0
589:28,scr_text_slash_scr_text_gml_9872_0
589:28,scr_text_slash_scr_text_gml_9876_0
589:28,scr_text_slash_scr_text_gml_9877_0
589:28,scr_text_slash_scr_text_gml_9878_0
589:28,scr_susface_slash_scr_susface_gml_1_0
589:28,scr_text_slash_scr_text_gml_9880_0
589:28,scr_torface_slash_scr_torface_gml_1_0
589:28,scr_text_slash_scr_text_gml_9882_0
589:40,scr_text_slash_scr_text_gml_9894_0
589:43,obj_npc_room_slash_Other_10_gml_77_0
589:43,obj_npc_room_slash_Other_10_gml_92_0
589:47,obj_room_torhouse_slash_Step_0_gml_77_0
589:47,obj_room_torhouse_slash_Step_0_gml_78_0
589:55,obj_readable_room1_slash_Other_10_gml_200_0
589:55,scr_text_slash_scr_text_gml_9203_0_b
